position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,star_bucket,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,override_flag_type,override_confidence,override_reason,p_start_recal_preoverride,p_boom_recal_preoverride,med_vol,med_tot,depth_chart_starter_floor,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0029892,Kyle Juszczyk,SF,LA,2026_01_SF_LA,2026,1,NA,NA,-3.5,22.5,-0.0923591535144521,10.1182020474241,7.3116827762529,12.9247213185953,4.36696904405068,15.8694350507975,2.05619845250112,18.1802056423471,-0.934508576188286,-3.15091666283051,1.28189951045394,-5.34497122200163,3.47595406962506,-6.77383830933313,4.90482115695656,0.1035,0.029,b3,0.0924566300207534,0.0329082174484206,star_platt,star_platt,NA,NA,NA,0.0924566300207534,0.0329082174484206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0031595,Michael Burton,CLE,JAX,2026_01_CLE_JAX,2026,1,NA,NA,-8.5,15.5,-0.085362360754652,11.4491580283559,8.64263875718471,14.2556772995271,5.69792502498248,17.2003910317293,3.38715443343292,19.5111616232789,-0.977327157953537,-3.31110239180479,1.35644807589771,-5.62134039480235,3.66668607889527,-7.12587137038243,5.17121705447536,0.1355,0.036,b3,0.115067651265608,0.0389762952693899,star_platt,star_platt,NA,NA,NA,0.115067651265608,0.0389762952693899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0032104,Ameer Abdullah,JAX,CLE,2026_01_CLE_JAX,2026,1,NA,NA,8.5,24,-0.0882605920779007,10.5393252107398,7.73280593956861,13.345844481911,4.78809220736638,16.2905582141132,2.47732161581682,18.6013288056628,-0.93020708320144,-3.18467511746483,1.32426095106195,-5.41640577162193,3.55599160521905,-6.86980922787808,5.0093950614752,0.1305,0.037,b3,0.183590180826351,0.111821647064669,star_platt,star_platt,role_change_up,0.72,Allen's game-time decision status with explicit mention that Abdullah would see increased opportunities if Allen is unavailable suggests a potential near-term committee shift.,0.111590180826351,0.0398216470646687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0032764,Derrick Henry,BAL,IND,2026_01_BAL_IND,2026,1,NA,NA,3.5,25.5,-0.0375850357036973,16.801286179766,13.9947669085948,19.6078054509371,11.0500531763925,22.5525191831394,8.73928258484297,24.8632897746889,-0.631476940934539,-3.37057610721884,2.10762222534976,-6.08205015842229,4.81909627655321,-7.84788410896072,6.58493022709164,0.395,0.188,b1,0.513985093844493,0.277094920150664,star_platt,star_platt,NA,NA,NA,0.513985093844493,0.277094920150664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033280,Christian McCaffrey,SF,LA,2026_01_SF_LA,2026,1,NA,NA,-3.5,22.5,-0.0975848769532356,18.8798847691454,16.0733654979743,21.6864040403166,13.128651765772,24.6311177725189,10.8178811742225,26.9418883640684,-1.84239123208833,-4.71819238419016,1.03340992001351,-7.56498971680479,3.88020725262814,-9.41895227934601,5.73416981516936,0.408,0.19,b1,0.596763148845142,0.351152676704627,star_platt,star_platt,role_change_up,0.72,Juszczyk's return to lineup would improve McCaffrey's ground-game efficiency and effectiveness.,0.524763148845142,0.279152676704627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033293,Aaron Jones,MIN,GB,2026_01_GB_MIN,2026,1,NA,NA,1.5,24,-0.089964600723594,15.4055586615198,12.5990393903486,18.212077932691,9.65432565814642,21.1567916648933,7.34355506659686,23.4675622564428,-1.38595493390754,-4.02764089698401,1.25573102916894,-6.64268420336674,3.87077433555166,-8.34571811235413,5.57380824453906,0.277,0.112,b3,0.209709676885999,0.0954341449242133,star_platt,star_platt,NA,NA,NA,0.209709676885999,0.0954341449242133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033376,Patrick Ricard,NYG,DAL,2026_01_DAL_NYG,2026,1,NA,NA,-3,22.75,-0.0484452265159177,10.1406858004708,7.33416652929956,12.9472050716419,4.38945279709733,15.8919188038442,2.07868220554778,18.2026893953937,-0.491267820630556,-2.70973099063282,1.72719534937171,-4.90581990667294,3.92328426541182,-6.33601185876764,5.35347621750653,0.149,0.038,b3,0.124375468392986,0.0406621941615217,star_platt,star_platt,NA,NA,NA,0.124375468392986,0.0406621941615217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033526,Samaje Perine,CIN,TB,2026_01_TB_CIN,2026,1,NA,NA,3.5,27,-0.0507560377541753,11.5210272397666,8.7145079685954,14.3275465109378,5.76979423639317,17.27226024314,3.45902364484361,19.5830308346896,-0.584761693548475,-2.92464256998311,1.75511918288616,-5.24092463726084,4.07140125016389,-6.74939177955453,5.57986839245758,0.2,0.057,b3,0.158773946635559,0.0558938592774982,star_platt,star_platt,NA,NA,NA,0.158773946635559,0.0558938592774982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033906,Alvin Kamara,NO,DET,2026_01_NO_DET,2026,1,NA,NA,-7,21.75,-0.121970330204216,17.8658894003549,15.0593701291837,20.6724086715261,12.1146563969815,23.6171224037283,9.80388580543191,25.9278929952779,-2.17910842955329,-4.98938153627446,0.631164677167876,-7.771311704946,3.41309484583941,-9.58302985053806,5.22481299143148,0.3455,0.1475,b3,0.25523551827243,0.119129284650376,star_platt,star_platt,NA,NA,NA,0.25523551827243,0.119129284650376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0034844,Saquon Barkley,PHI,WAS,2026_01_WAS_PHI,2026,1,NA,NA,5.5,25,-0.0585772270509141,21.0601917912982,18.253672520127,23.8667110624694,15.3089587879248,26.8114247946716,12.9981881963752,29.1221953862212,-1.23364763629467,-4.24371634860195,1.7764210760126,-7.22342708935335,4.75613181676401,-9.16394884594828,6.69665357335893,0.556,0.301,b2,0.469128994335155,0.223103678720975,star_platt,star_platt,NA,NA,NA,0.469128994335155,0.223103678720975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
